authors,title,year,source_title,document_type,cited_by,affiliations,author_keywords,doi,link
"Sayili M., Akca H., Duman T., Esengun K.","Psoriasis treatment via doctor fishes as part of health tourism: A case study of Kangal Fish Spring, Turkey",2007,Tourism Management,Article,23,"Department of Agricultural Economics, Faculty of Agriculture, Gaziosmanpasa University, 60240 Tokat, Turkey; School of Tourism and Hotel Management, Gaziosmanpasa University, Zile, 60400 Tokat, Turkey",Kangal Fish Spring; Psoriasis treatment; Spa tourism in Turkey,10.1016/j.tourman.2006.08.010,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33845478103&doi=10.1016%2fj.tourman.2006.08.010&partnerID=40&md5=5014fdd146fe2713b69a5d75e63faff7
"Sharma P., Nayak J.K.","Testing the role of tourists’ emotional experiences in predicting destination image, satisfaction, and behavioral intentions: A case of wellness tourism",2018,Tourism Management Perspectives,Article,22,"Department of Management Studies, Indian Institute of Technology Roorkee, Roorkee, Uttarakhand  247667, India",Behavioral intentions; Destination image; Rishikesh; Satisfaction; Tourists’ emotions; Yoga tourism,10.1016/j.tmp.2018.07.004,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050336198&doi=10.1016%2fj.tmp.2018.07.004&partnerID=40&md5=1a046db6d4744e8c347865f731cd5a1e
"Roy J., Chatterjee K., Bandyopadhyay A., Kar S.",Evaluation and selection of medical tourism sites: A rough analytic hierarchy process based multi-attributive border approximation area comparison approach,2018,Expert Systems,Article,22,"Department of Mathematics, National Institute of Technology, Durgapur, India",medical tourism; multiple criteria decision-making; R-AHP; R-MABAC; rough number,10.1111/exsy.12232,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85031679253&doi=10.1111%2fexsy.12232&partnerID=40&md5=c9e08f0e0fe42e292fbc818fa834dc09
Mohammed Abubakar A.,Does eWOM influence destination trust and travel intention: A medical tourism perspective,2016,Economic Research-Ekonomska Istrazivanja,Article,22,"Management Information System, Aksaray Universitesi, Aksaray, Turkey",Destination trust; eWOM; Gender; Tourism; Travel intention,10.1080/1331677X.2016.1189841,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85009982931&doi=10.1080%2f1331677X.2016.1189841&partnerID=40&md5=3ffe71bfa31e715351fecd3f59537000
"Lunt N., Horsfall D., Smith R., Exworthy M., Hanefeld J., Mannion R.","Market size, market share and market strategy: Three myths of medical tourism",2014,Policy and politics,Article,22,"University of York, United Kingdom; London School of Hygiene and Tropical Medicine, United Kingdom; Royal Holloway, University of London, United Kingdom; University of Birmingham, United Kingdom",Commodification; Economic sociology; Globalisation; health policy; Markets,10.1332/030557312X655918,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84910050252&doi=10.1332%2f030557312X655918&partnerID=40&md5=76b6827e7df747a54e3321d187762688
"Oh K.M., Jun J., Zhou Q., Kreps G.",Korean American women's perceptions about physical examinations and cancer screening services offered in Korea: The influences of medical tourism on Korean Americans,2014,Journal of Community Health,Article,22,"School of Nursing, George Mason University, Fairfax, VA 22030, United States; Department of Communication, Wayne State University, Detroit, MI 48201, United States; Department of Communication, Center for Health and Risk Communication, George Mason University, Fairfax, VA 22030, United States; School of Nursing, George Washington University, Ashburn, VA 20147, United States",Cancer screening; Korean American; Medical tour; Perception; Physical examination,10.1007/s10900-013-9800-z,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84896397363&doi=10.1007%2fs10900-013-9800-z&partnerID=40&md5=3195d932f8f55ba6fe9b834241e3a80d
"Medhekar A., Wong H.Y., Hall J.",Innovation in medical tourism service marketing: A case of India,2013,Innovations in Services Marketing and Management: Strategies for Emerging Economies,Book Chapter,22,"CQ University, Australia; Deakin Graduate School of Business, Faculty of Business and Law, Deakin University, Australia",NA,10.4018/978-1-4666-4671-1.ch003,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84956761725&doi=10.4018%2f978-1-4666-4671-1.ch003&partnerID=40&md5=1812a76c4ee92ccc2e618293c9003755
"Gan L.L., Frederick J.R.",Medical Tourists: Who Goes and What Motivates Them?,2013,Health Marketing Quarterly,Article,22,"Department of Economics, Finance, and Decision Sciences, School of Business, University of North Carolina at Pembroke, P.O. Box 1510, Pembroke, NC 28372-1510, United States",demographics; medical tourism; medical travel; motivations; uninsured,10.1080/07359683.2013.787894,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878436345&doi=10.1080%2f07359683.2013.787894&partnerID=40&md5=a55f3694b782962fc1c7c69d6f8326e1
Speier A.R.,Health tourism in a Czech health spa,2011,Anthropology and Medicine,Article,22,"Department of Anthropology, Eckerd College, St. Petersburg, FL, United States",balneotherapy; Czech health spa; medical tourism,10.1080/13648470.2010.525879,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79956269319&doi=10.1080%2f13648470.2010.525879&partnerID=40&md5=7f89ee688bbfd47aafe7c69ea7cc7719
"Chambers D., McIntosh B.",Using authenticity to achieve competitive advantage in medical tourism in the English-speaking Caribbean,2008,Third World Quarterly,Article,22,"Department of Tourism, University of Surrey, Guildford, Surrey, United Kingdom; School of Management and Law, Napier University, Edinburgh, United Kingdom",NA,10.1080/01436590802106056,https://www.scopus.com/inward/record.uri?eid=2-s2.0-46749118428&doi=10.1080%2f01436590802106056&partnerID=40&md5=9c2ee2502458b28cbf7060c9bc6b6d04
"Gazitt Y., Shaughnessy P., Devore P.",Mobilization of dendritic cells and NK cells in non-Hodgkin's lymphoma patients mobilized with different growth factors,2001,Journal of Hematotherapy and Stem Cell Research,Article,22,"Universtiy of Texas, Health Science Center, San Antonio, TX 78286, United States; Wilford Hall Medical Center, San Antonio, TX 78286, United States",NA,10.1089/152581601750098471,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035086677&doi=10.1089%2f152581601750098471&partnerID=40&md5=3efcb3231c6281bf0c503e8c92819332
"Franzblau L.E., Chung K.C.",Impact of medical tourism on cosmetic surgery in the United States,2013,Plastic and Reconstructive Surgery,Article,21,"Section of Plastic Surgery, University of Michigan Health System, Ann Arbor, MI, United States; Section of Plastic Surgery, University of Michigan Health System, 2130 Taubman Center, SPC 5340, 1500 East Medical Center Drive, Ann Arbor, MI  48109-5340, United States",NA,10.1097/GOX.0000000000000003,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886384738&doi=10.1097%2fGOX.0000000000000003&partnerID=40&md5=d0dc8965136d3777b5cb4d74fb3ced3a
"Chen K.-H., Chang F.-H., Kenny C.W.",Investigating the wellness tourism factors in hot spring hotel customer service,2013,International Journal of Contemporary Hospitality Management,Article,21,"Department of Tourism Management, National Kaohsiung University of Applied Sciences, Kaohsiung, Taiwan; Department of Leisure, Recreation and Tourism Management, Tzu Hui Institute of Technology, Pingtung, Taiwan",Consumers; Customer service; Customers; Older consumers; Service factor; Tourism; Verbal-linguistic evaluation; Wellness tourism,10.1108/IJCHM-06-2012-0086,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84884508687&doi=10.1108%2fIJCHM-06-2012-0086&partnerID=40&md5=3eccea0c874e9d501db9aef4ad0c6369
Glinos I.,Worrying about the wrong thing: Patient mobility versus mobility of health care professionals,2012,Journal of Health Services Research and Policy,Review,21,"Department of Health Services Research, Faculty of Health, Medicine and Life Sciences, Maastricht University, Maastricht, Netherlands",NA,10.1258/jhsrp.2012.012018,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84868138496&doi=10.1258%2fjhsrp.2012.012018&partnerID=40&md5=050ed2546b78dc9ef8af49abc1a6574a
"Varmavuo V., Mäntymaa P., Kuittinen T., Nousiainen T., Jantunen E.",Blood graft lymphocyte subsets after plerixafor injection in non-Hodgkin's lymphoma patients mobilizing poorly with chemotherapy plus granulocyte-colony- stimulating factor,2012,Transfusion,Article,21,"Department of Medicine, Kuopio University Hospital, PO Box 1777, 70211 Kuopio, Finland; Laboratory of Eastern Finland, Finland; University of Eastern Finland/Clinical Medicine, Kuopio, Finland",NA,10.1111/j.1537-2995.2011.03525.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863836508&doi=10.1111%2fj.1537-2995.2011.03525.x&partnerID=40&md5=941dd78973fa25cdbf51594362358580
Turner L.,News media reports of patient deaths following 'medical tourism' for cosmetic surgery and bariatric surgery,2012,Developing World Bioethics,Article,21,"University of Minnesota, Center for Bioethics, N504 Boynton 410 Church St SE, Minneapolis, MN 55455, United States",Bioethics; Empirical ethics; Health care; Medical ethics; Mexico; Patient protection,10.1111/j.1471-8847.2012.00320.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858673463&doi=10.1111%2fj.1471-8847.2012.00320.x&partnerID=40&md5=8b3ec27f26a1865aec64d8b38cba6fd5
"Al-Hinai S.S., Al-Busaidi A.S., Al-Busaidi I.H.",Medical tourism abroad: A new challenge to Oman's health system - Al Dakhilya region experience,2011,Sultan Qaboos University Medical Journal,Article,21,"Dakhilya Region, Nizwa, Oman",Health care system; Medical tourism; Oman,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-80055023399&partnerID=40&md5=ed9676a42e007c40107931169327391d
Konu H.,Identifying potential wellbeing tourism segments in Finland,2010,Tourism Review,Article,21,"Centre for Tourism Studies, University of Joensuu, Savonlinna, Finland",Finland; Lifestyles; Market segmentation; Quality of life; Tourism,10.1108/16605371011061615,https://www.scopus.com/inward/record.uri?eid=2-s2.0-80053479640&doi=10.1108%2f16605371011061615&partnerID=40&md5=c0b7693048650557e48b300b7852e8e0
"Schuchert M.J., Pettiford B.L., Landreneau J.P., Waxman J., Kilic A., Santos R.S., Kent M.S., El-Sherif A., Abbas G., Luketich J.D., Landreneau R.J.",Transcervical gastric tube drainage facilitates patient mobility and reduces the risk of pulmonary complications after esophagectomy,2008,Journal of Gastrointestinal Surgery,Article,21,"Division of Thoracic and Foregut Surgery, UPMC Health System, Heart, Lung and Esophageal Surgery Institute, 5200 Centre Avenue, Pittsburgh, PA 15232, United States; Division of Thoracic and Foregut Surgery, Heart, Lung and Esophageal Surgery Institute, Presbyterian University Hospital, 200 Lothrop St., Pittsburgh, PA 13213, United States",Anastomotic leak; Cervical esophagostomy; Esophagectomy; Gastric decompression; Ischemia,10.1007/s11605-008-0541-8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-49749084705&doi=10.1007%2fs11605-008-0541-8&partnerID=40&md5=09e617358fb733d2804e5f75b9ba1a21
Judkins G.,Persistence of the U. S. - Mexico border: Expansion of medical-tourism amid trade liberalization,2007,Journal of Latin American Geography,Article,21,"School of Geographical Sciences, Arizona State University, Tempe, AZ, United States",Borders; Globalization; Medical-tourism; Trade,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34848813783&partnerID=40&md5=145ba7abc7a22ed942b9b413c0958144
"Gazitt Y., Shaughnessy P., Liu Q.",Expression of adhesion molecules on CD34+ cells in peripheral blood of non-Hodgkin's lymphoma patients mobilized with different growth factors,2001,Stem Cells,Article,21,"University of Texas Health Science Center, Wilford Hall Medical Center, San Antonio, TX, United States; Department of Medicine/Hematology, University of Texas Health Science Center, 7703 Floyd Curl Drive, San Antonio, TX 78284, United States",CD34+; L-selectin; Mobilization; NHL; VLA-4,10.1634/stemcells.19-2-134,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035105610&doi=10.1634%2fstemcells.19-2-134&partnerID=40&md5=95447935adc75c5396a04691425d8d38
"Panfiluk E., Szymańska E.",The measurement of the innovativeness of health tourism services using an adequacy matrix title of the article,2017,Entrepreneurship and Sustainability Issues,Article,20,"Bialystok University of Technology, 45A Wiejska Street, Bialystok, 15-351, Poland",Health tourism; Innovations; Service innovativeness; Tourism,10.9770/jesi.2017.4.4(1),https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040070039&doi=10.9770%2fjesi.2017.4.4%281%29&partnerID=40&md5=d57d80f0775ed3fbd8833902292a53d8
Connell J.,Reducing the scale? From global images to border crossings in medical tourism,2016,Global Networks,Article,20,"School of Geosciences, University of SydneyNSW  2006, Australia",BORDERS; COMPETITION; DATA; MEDICAL TOURISM; REGIONS; TRAVEL,10.1111/glob.12136,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978395236&doi=10.1111%2fglob.12136&partnerID=40&md5=52309118fd5d3cd56b68d9a965238dc6
"Adams K., Snyder J., Crooks V.A., Johnston R.",Promoting social responsibility amongst health care users: Medical tourists' perspectives on an information sheet regarding ethical concerns in medical tourism,2013,"Philosophy, Ethics, and Humanities in Medicine",Article,20,"Faculty of Health Sciences, Simon Fraser University, Blusson Hall, 8888 University Drive, Burnaby, BC, Canada; Department of Geography, Simon Fraser University, Robert C. Brown Building, 8888 University Drive, Burnaby, BC, Canada",NA,10.1186/1747-5341-8-19,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890308482&doi=10.1186%2f1747-5341-8-19&partnerID=40&md5=ea3cd95fa42caf10fbb133a0ff6e1060
"Medhekar A., Wong H.Y., Hall J.",Medical tourism: A conceptual framework for an innovation in global healthcare provision,2013,Innovations in Services Marketing and Management: Strategies for Emerging Economies,Book Chapter,20,"CQ University, Australia; Deakin Graduate School of Business, Faculty of Business and Law, Deakin University, Australia",NA,10.4018/978-1-4666-4671-1.ch009,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84956752211&doi=10.4018%2f978-1-4666-4671-1.ch009&partnerID=40&md5=5c7a5cc11c1519e51a8c3e4a53b99ea6
Singh N.,Exploring the factors influencing the travel motivations of US medical tourists,2013,Current Issues in Tourism,Article,20,"The Collins College of Hospitality Management, California State Polytechnic University, Pomona, CA, United States",Developing destinations; Medical tourism; Travel motivation,10.1080/13683500.2012.695341,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84879450320&doi=10.1080%2f13683500.2012.695341&partnerID=40&md5=7877cefb564d19dd551fb64128124575
Turner L.,Transnational medical travel: Ethical dimensions of global healthcare,2013,Cambridge Quarterly of Healthcare Ethics,Article,20,"University of Minnesota's Center for Bioethics, School of Public Health, College of Pharmacy, United States",NA,10.1017/S0963180112000540,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878788299&doi=10.1017%2fS0963180112000540&partnerID=40&md5=cb9da865657e34c98e9cd17993f5c36a
Turner L.,"Beyond ""medical tourism"": Canadian companies marketing medical travel",2012,Globalization and Health,Article,20,"Center for Bioethics, School of Public Health, College of Pharmacy, University of Minnesota, Minneapolis, MN, United States",Canada; Globalization; Medical tourism; Transnational healthcare; Websites,10.1186/1744-8603-8-16,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84862168455&doi=10.1186%2f1744-8603-8-16&partnerID=40&md5=7f1db40b4df5d7522b7d93f8db9d9167
Cohen I.G.,How to regulate medical tourism (and why it matters for bioethics),2012,Developing World Bioethics,Article,20,"Harvard Law School, Petrie-Flom Center for Health Law Policy, Biotechnology and Bioethics, Griswold Hall 503, 1525 Massachusetts Avenue, Cambridge, MA 02138, United States",Bioethics; Developing world bioethics; Distributive justice; India; International justice; Patient; Rights,10.1111/j.1471-8847.2012.00317.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858679548&doi=10.1111%2fj.1471-8847.2012.00317.x&partnerID=40&md5=1a71deafbb87a3deb2861ab854fc4a4f
"Martin D.S., Ramamonjiarivelo Z., Martin W.S.",MEDTOUR: A scale for measuring medical tourism intentions,2011,Tourism Review,Article,20,"Department of Nutrition, Dietetics and Hospitality Management, Auburn University, Auburn, Alabama, United States; Department of Health Services Administration, University of Alabama at Birmingham, Birmingham, Alabama, United States; Mike Cottrell School of Business, North Georgia College and State University, Dahlonega, United States",Consumer behaviour; Medical treatment; Scale; Tourism; United States of America,10.1108/16605371111127233,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84993027366&doi=10.1108%2f16605371111127233&partnerID=40&md5=2da7f9ddf35a777baf1ecb876212f2cf
"Lertwannawit A., Gulid N.",International tourists' service quality perception and behavioral loyalty toward medical tourism in Bangkok Metropolitan area,2011,Journal of Applied Business Research,Article,20,"Suan Dusit Rajabhat University, Building 1, 295 Rachasima Road, Dusit, Bangkok 10300, Thailand; Srinakharinwirot University, 114 Soi Sukhumvit 23, Sukhumvit Road, Bangkok 10110, Thailand",Behavioral Loyalty; Medical Tourism; Satisfaction; Service Quality; Value; Brand Trust,10.19030/jabr.v27i6.6460,https://www.scopus.com/inward/record.uri?eid=2-s2.0-80055100999&doi=10.19030%2fjabr.v27i6.6460&partnerID=40&md5=f301172c34f3e476964c4604f991a28d
"Reedy J.E., Swartz M.T., Lohmann D.P., Moroney D.A., Vaca K.J., McBride L.R., Pennington D.G.",The importance of patient mobility with ventricular assist device support,1992,ASAIO Journal,Article,20,"Department of Surgery, St. Louis University Medical Center, 3635 Vista Avenue at Grand Boulevard, St. Louis, MO 63110-0250, United States",NA,10.1097/00002480-199207000-00007,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0026592820&doi=10.1097%2f00002480-199207000-00007&partnerID=40&md5=d3b3a7e202a59510b720d175bd381350
Sandberg D.S.,Medical tourism: An emerging global healthcare industry,2017,International Journal of Healthcare Management,Review,19,"School of Advanced Studies, University of Phoenix, Tempe, AZ, United States; School of Health Services Administration, College of Health Professions, University of Phoenix, Tempe, AZ, United States; Florida Medical Retreat, Sarasota, FL, United States",Medical tourism; Medical tourist; Medical traveler; Medical treatment abroad; MPV medical procedure vacation; Surgical trip; Travel for care,10.1080/20479700.2017.1296213,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029489011&doi=10.1080%2f20479700.2017.1296213&partnerID=40&md5=38dc0223712628bd6290a6c42502103d
"Dryglas D., Salamaga M.",Applying destination attribute segmentation to health tourists: A case study of Polish spa resorts,2017,Journal of Travel and Tourism Marketing,Article,19,"Department of General Geology and Geotourism, AGH University of Science and Technology, al. Mickiewicza 30, Krakow, 30-059, Poland; Department of Statistics, Cracow University of Economics, Rakowicka 27, Krakow, 31-510, Poland",health tourism; Image; Poland; pull motivation; segmentation; spa resort,10.1080/10548408.2016.1193102,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976536993&doi=10.1080%2f10548408.2016.1193102&partnerID=40&md5=c3d3e7372f56ba001d681f7dbba97e8b
"Seow A.N., Choong Y.O., Moorthy K., Chan L.M.",Intention to visit Malaysia for medical tourism using the antecedents of Theory of Planned Behaviour: A predictive model,2017,International Journal of Tourism Research,Article,19,"Faculty of Business and Finance, Universiti Tunku Abdul Rahman, Jln Universiti, Kampar, Perak, Malaysia",perceived benefits; perceived risks; resource availability; theory of planned behaviour,10.1002/jtr.2120,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017614914&doi=10.1002%2fjtr.2120&partnerID=40&md5=f14696a5fb96771b76cadc3ac155ceba
"Ormond M., Mun W.K., Khoon C.C.",Medical tourism in Malaysia: How can we better identify and manage its advantages and disadvantages?,2015,Global Health Action,Article,19,"Cultural Geography Chair Group, Wageningen University, Wageningen, Netherlands; Faculty of Business and Accountancy, University of Malaya, Kuala Lumpur, Malaysia; Centre for Population Health, Department of Social and Preventive Medicine, Faculty of Medicine, University of Malaya, Kuala Lumpur, Malaysia",Destination countries; Entrepreneurial state; Healthcare commodification; Medical tourism industry; Public-private health care investment; Southeast Asia; Statistical data,10.3402/gha.v7.25201,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84931263767&doi=10.3402%2fgha.v7.25201&partnerID=40&md5=d9eee05e6ba39d758936f092446821b5
"Casey V., Crooks V.A., Snyder J., Turner L.","Knowledge brokers, companions, and navigators: A qualitative examination of informal caregivers' roles in medical tourism",2013,International Journal for Equity in Health,Article,19,"Department of Geography, Simon Fraser University, Burnaby, BC, Canada; Faculty of Health Sciences, Simon Fraser University, Burnaby, BC, Canada; Center for Bioethics, School of Public Health, University of Minnesota, Minneapolis, MN, United States",Family caregivers; Global health services; Healthcare providers; Informal caregiving; Medical tourism; Qualitative analysis,10.1186/1475-9276-12-94,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84888349209&doi=10.1186%2f1475-9276-12-94&partnerID=40&md5=7dcd231ab9ac345773f09e295451e2e6
Dalstrom M.,Medical travel facilitators: Connecting patients and providers in a globalized world,2013,Anthropology and Medicine,Article,19,"Anthropology and Sociology, Rockford College, United States",medical anthropology; medical travel; medical travel facilitators; Mexico,10.1080/13648470.2012.747592,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876484698&doi=10.1080%2f13648470.2012.747592&partnerID=40&md5=1deac61fe95d806e87e4cc6c3189b42f
"Snyder J., Crooks V.A., Turner L., Johnston R.","Understanding the impacts of medical tourism on health human resources in Barbados: A prospective, qualitative study of stakeholder perceptions",2013,International Journal for Equity in Health,Article,19,"Faculty of Health Sciences, Simon Fraser University, 8888 University Dr, Burnaby, BC, V5A 1S6, Canada; Department of Geography, Simon Fraser University, 8888 University Dr, Burnaby, BC, V5A 1S6, Canada; Center for Bioethics, School of Public Health, University of Minnesota, N504 Boynton, 410 Church St. E, Minneapolis, MN, 55455, United States",NA,10.1186/1475-9276-12-2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871808489&doi=10.1186%2f1475-9276-12-2&partnerID=40&md5=981c3c990ea9839d90cd9b0df35a9fdc
"Kingsbury P., Crooks V.A., Snyder J., Johnston R., Adams K.",Narratives of emotion and anxiety in medical tourism: On state of the heart and larry’s kidney,2012,Social and Cultural Geography,Article,19,"Department of Geography, Simon Fraser University, 8888 University Drive, Burnaby, BC, V5A 1S6, Canada; Simon Fraser University, 8888 University Drive, Burnaby, BC, V5A 1S6, Canada",Anxiety; China; Emotional geography; India; Medical tourism,10.1080/14649365.2012.683807,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866862549&doi=10.1080%2f14649365.2012.683807&partnerID=40&md5=da8a195baa902fe036a1cffbf645d3dd
Kangas B.,"Complicating common ideas about medical tourism: Gender, class, and globality in yemenis' international medical travel",2011,Signs,Article,19,"Department of Sociology and Anthropology, Oakland University, United States",NA,10.1086/655912,https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650274963&doi=10.1086%2f655912&partnerID=40&md5=a3c11337ea2d8aeeee2ebc12c12e62b3
"Yu J., Lee T.J., Noh H.",Characteristics of a Medical Tourism Industry: The Case of South Korea,2011,Journal of Travel and Tourism Marketing,Article,19,"Korea Culture and Tourism Institute, Seoul, South Korea; School of Tourism, University of Queensland, Brisbane, QLD 4072, Australia",characteristics; Medical tourism; South Korea; website media reports,10.1080/10548408.2011.623052,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84859068673&doi=10.1080%2f10548408.2011.623052&partnerID=40&md5=6783005507973501584214f820278880
"Hjalager A.-M., Konu H.",Co-branding and co-creation in wellness tourism: The role of cosmeceuticals,2011,Journal of Hospitality Marketing and Management,Article,19,"Danish Centre for Rural Research, University of Southern Denmark, Esbjerg, Denmark; Centre for Tourism Studies, University of Eastern Finland, Puistokatu 5, FI-57101, Savonlinna, Finland",Co-branding; Co-creation; Cosmeceuticals; Innovation; Nordic countries; Spa and wellness tourism,10.1080/19368623.2011.611727,https://www.scopus.com/inward/record.uri?eid=2-s2.0-80053501784&doi=10.1080%2f19368623.2011.611727&partnerID=40&md5=e81e70c41ee36e1db23342500c5fb59f
Reisman D.,Health tourism: Social welfare through international trade,2010,Health Tourism: Social Welfare through International Trade,Book,19,"Nanyang Technological University, Singapore; University of Surrey, United Kingdom",NA,10.4337/9781849805537,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039545518&doi=10.4337%2f9781849805537&partnerID=40&md5=3ae61597c8d5e3f07f219e5b9a8c1906
Anne Jenner E.,Unsettled borders of care: medical tourism as a new dimension in america's health care crisis,2008,Research in the Sociology of Health Care,Review,19,NA,NA,10.1016/S0275-4959(08)26011-4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-53349108453&doi=10.1016%2fS0275-4959%2808%2926011-4&partnerID=40&md5=ff9c155fcf629b378a8bab50208c4373
Mair H.,"Tourism, health and the pharmacy: Towards a critical understanding of health and wellness tourism",2005,Tourism,Review,19,"Department of Recreation and Leisure Studies, University of Waterloo, Waterloo, Canada",Commodification of leisure; Embodiment of tourism; Health and wellness tourism,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33644656535&partnerID=40&md5=022998583dda38926f48647eb73bd838
Garud A.D.,Medical tourism and its impact on our healthcare,2005,National Medical Journal of India,Article,19,"Health Care Quality, P.D. Hinduja National Hospital, Mumbai, Maharashtra, India",NA,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-32544438759&partnerID=40&md5=6e548ddd0b49f079d8186c8f186b365e
Henderson J.C.,Paradigm Shifts: National Tourism Organisations and Education and Healthcare Tourism. The Case of Singapore,2004,Tourism and Hospitality Research,Article,19,"Nanyang Business School, Nanyang Technological University, Nanyang Avenue, Singapore 639798, Singapore",education tourism; healthcare tourism; national tourism organisations; Singapore Tourism Board,10.1057/palgrave.thr.6040016,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992885712&doi=10.1057%2fpalgrave.thr.6040016&partnerID=40&md5=833bb1ae2fd2bb930b031192475d2c91
"Gazitt Y., Shaughnessy P., Liu Q.",Differential mobilization of CD34+ cells and lymphoma cells in non-hodgkin's lymphoma patients mobilized with different growth factors,2001,Journal of Hematotherapy and Stem Cell Research,Article,19,"Universtiy of Texas, Health Science Center, San Antonio, TX 78284, United States; Wilford Hall Medical Center, San Antonio, TX 78284, United States",NA,10.1089/152581601750098453,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035078051&doi=10.1089%2f152581601750098453&partnerID=40&md5=4052dfd39e0bde57826e81b470d4cfad
"Afthanorhan A., Awang Z., Salleh F., Ghazali P.L., Rashid N.","The effect of product quality, medical price and staff skills on patient loyalty via cultural impact in medical tourism",2018,Management Science Letters,Article,18,"Faculty of Economics and Management Sciences, Universiti Sultan Zainal Abidin (UniSZA), Malaysia",Cultural impact; Medical price; Medical tourism; Product quality; Staff skills; Structural equation modeling,10.5267/j.msl.2018.10.004,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054520571&doi=10.5267%2fj.msl.2018.10.004&partnerID=40&md5=b7388d0a289fc5aee0f527b370f0af5c
Loureiro S.M.C.,Medical tourists’ emotional and cognitive response to credibility and Servicescape,2017,Current Issues in Tourism,Article,18,"Department of Marketing, Operations and General Management, Business Research Unit (BRU/UNIDE), Instituto Universitário de Lisboa (ISCTE-IUL), Av. Forças Armadas, Lisbon, 1649-026, Portugal",credibility; image; medical tourism; perceived quality; pleasure-feeling; Servicescape,10.1080/13683500.2015.1050363,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930407426&doi=10.1080%2f13683500.2015.1050363&partnerID=40&md5=fac53ce1b9406824b282ef0f57dddeb3
"Adabi K., Stern C.S., Weichman K.E., Garfein E.S., Pothula A., Draper L., Tepper O.M.",Population Health Implications of Medical Tourism,2017,Plastic and Reconstructive Surgery,Article,18,"Montefiore Medical Center, Albert Einstein College of Medicine, Montefiore Health System, 1250 Waters Place, Bronx, NY  10461, United States",NA,10.1097/PRS.0000000000003459,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021449057&doi=10.1097%2fPRS.0000000000003459&partnerID=40&md5=ffb184fe2d6006ec3d6f17b9dc89a7b1
"Page S.J., Hartwell H., Johns N., Fyall A., Ladkin A., Hemingway A.","Case study: Wellness, tourism and small business development in a UK coastal resort: Public engagement in practice",2017,Tourism Management,Article,18,"Hertfordshire Business School, University of Hertfordshire, United Kingdom; Faculty of Management, Bournemouth University, United Kingdom; University of Central Florida, United States; Faculty of Health and Social Science, Bournemouth University, United Kingdom",Coastal tourism; Public engagement; Small business development; Well-being; Wellness tourism,10.1016/j.tourman.2016.12.014,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85010216492&doi=10.1016%2fj.tourman.2016.12.014&partnerID=40&md5=7aa4ca0f08dda5202f08dadda109a169
